".variable",".value",".lower",".upper",".width",".point",".interval","model"
"b_availablePerStepScaled",-0.63032410356775,-0.924077322741628,-0.357975913750189,0.95,"median","hdci","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_Intercept",0.0649562799675354,-0.470268616898827,0.606855812852663,0.95,"median","hdci","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_modelFormulamf.ss",0.0865090776270963,-0.478011506169301,0.602820354103377,0.95,"median","hdci","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_stepDistgamma",-0.880469054403591,-1.43751896777022,-0.310122380742777,0.95,"median","hdci","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_turnDistvonmises",-0.139375587826796,-0.658579786479389,0.422521640476613,0.95,"median","hdci","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_availablePerStepScaled",-0.259956508583847,-0.616901315497213,0.0808892335292869,0.95,"median","hdci","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_Intercept",-1.98176330040444,-2.90092038771011,-1.40076339382558,0.95,"median","hdci","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_modelFormulamf.ss",1.12168707583451,0.521755391057623,1.94827165278435,0.95,"median","hdci","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_stepDistgamma",0.196437607060834,-0.51579396354124,0.969734740485316,0.95,"median","hdci","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_turnDistvonmises",0.338042717708457,-0.40457032165625,1.06986123308606,0.95,"median","hdci","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_availablePerStepScaled",0.00982772791575691,-0.021401146708056,0.0420111941672366,0.95,"median","hdci","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
"b_Intercept",0.591992394187559,0.512310302870784,0.681482848382563,0.95,"median","hdci","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
"b_modelFormulamf.ss",-0.0943410279562635,-0.165057607276124,-0.0171405448513794,0.95,"median","hdci","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
"b_stepDistgamma",-0.0286223354861146,-0.0959136578366964,0.0358947563316186,0.95,"median","hdci","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
"b_turnDistvonmises",0.00681653202672601,-0.0555715257353387,0.0797492484376686,0.95,"median","hdci","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
"b_availablePerStepScaled",0.508272760414409,0.23572728096246,0.762087513869809,0.95,"median","hdci","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
"b_Intercept",0.511414584314635,0.309980983425876,0.682160542764603,0.95,"median","hdci","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
"b_modelFormulamf.ss",-0.0379396402435248,-0.121800750455857,0.0458804863235517,0.95,"median","hdci","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
"b_stepDistgamma",4.2851750709044,1.76883292390928,6.54606220544277,0.95,"median","hdci","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
"b_turnDistvonmises",0.0903117459474392,0.0192358923896323,0.181797573563568,0.95,"median","hdci","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
"b_availablePerStepScaled",-0.210290446113086,-0.906272069710338,0.470042899436661,0.95,"median","hdci","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
"b_Intercept",-2.00688207398202,-3.45482287441818,-0.805156483890528,0.95,"median","hdci","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
"b_modelFormulamf.ss",0.274098202236033,-1.33829667448791,1.60037096531371,0.95,"median","hdci","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
"b_stepDistgamma",0.376676861270266,-1.04556717814748,1.76357163099256,0.95,"median","hdci","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
"b_turnDistvonmises",0.326732901660999,-0.934612306526542,1.73467768647926,0.95,"median","hdci","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
"b_availablePerStepScaled",-0.000681656613873604,-0.051711181808222,0.0477290931148275,0.95,"median","hdci","ssfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
"b_Intercept",0.165717059035912,0.0735787424017535,0.256951482883108,0.95,"median","hdci","ssfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
"b_modelFormulamf.ss",0.0696054303300548,-0.0398820394516344,0.171270155412044,0.95,"median","hdci","ssfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
"b_stepDistgamma",0.0802992786053487,-0.0218623915600923,0.175138938115782,0.95,"median","hdci","ssfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
"b_turnDistvonmises",-0.0470035264041614,-0.151971697795579,0.0483629914233979,0.95,"median","hdci","ssfBrms_PYBI_H1_continuous_PYBI_H1_continuous"
"b_availablePerStepScaled",-0.0142158447519472,-0.126147157358457,0.0937137440663549,0.95,"median","hdci","ssfBrms_BUCA_H1_binary_BUCA_H1_binary"
"b_Intercept",3.25436137223904,2.53876963964497,4.00211766032393,0.95,"median","hdci","ssfBrms_BUCA_H1_binary_BUCA_H1_binary"
"b_modelFormulamf.ss",-1.65410335430565,-2.38522608131499,-0.89584663690496,0.95,"median","hdci","ssfBrms_BUCA_H1_binary_BUCA_H1_binary"
"b_stepDistgamma",0.00365989254381083,-0.256640594818925,0.200995467706824,0.95,"median","hdci","ssfBrms_BUCA_H1_binary_BUCA_H1_binary"
"b_turnDistvonmises",0.0212244111195667,-0.201639235906802,0.253909848176394,0.95,"median","hdci","ssfBrms_BUCA_H1_binary_BUCA_H1_binary"
"b_availablePerStepScaled",0.323919831967161,-0.132117107035065,0.844153624121539,0.95,"median","hdci","ssfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
"b_Intercept",12.1387474730332,8.56508228054605,15.9198281015052,0.95,"median","hdci","ssfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
"b_modelFormulamf.ss",-8.1572729562664,-12.0287069531618,-4.55206596499994,0.95,"median","hdci","ssfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
"b_stepDistgamma",-0.24735924218657,-1.15089283789913,0.7374611443121,0.95,"median","hdci","ssfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
"b_turnDistvonmises",0.303163218290662,-0.683552614160081,1.30385456220897,0.95,"median","hdci","ssfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
"b_availablePerStepScaled",-0.0531684087966782,-0.107987733294579,-0.00186155585344268,0.95,"median","hdci","ssfBrms_BUFA_H1_binary_BUFA_H1_binary"
"b_Intercept",2.31786267813009,2.21782916395829,2.41873379565371,0.95,"median","hdci","ssfBrms_BUFA_H1_binary_BUFA_H1_binary"
"b_modelFormulamf.ss",-0.484460208996857,-0.584275637284457,-0.375707196253344,0.95,"median","hdci","ssfBrms_BUFA_H1_binary_BUFA_H1_binary"
"b_stepDistgamma",0.011181728032568,-0.0902340255453867,0.131359911982497,0.95,"median","hdci","ssfBrms_BUFA_H1_binary_BUFA_H1_binary"
"b_turnDistvonmises",0.00114843543611461,-0.108458876603533,0.112542149976332,0.95,"median","hdci","ssfBrms_BUFA_H1_binary_BUFA_H1_binary"
"b_availablePerStepScaled",0.540260642289295,0.0936355941803217,0.95379911170453,0.95,"median","hdci","ssfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
"b_Intercept",3.42353515388618,2.63672771064168,4.22153582728328,0.95,"median","hdci","ssfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
"b_modelFormulamf.ss",-0.34806672897186,-1.01447994728619,0.438349209131001,0.95,"median","hdci","ssfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
"b_stepDistgamma",-0.200801288708306,-0.97135488907184,0.567634164656143,0.95,"median","hdci","ssfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
"b_turnDistvonmises",0.176488110458471,-0.524957999076577,0.947354481989963,0.95,"median","hdci","ssfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
"b_areaMethodKDEhref",0.177127929400043,0.149202948986234,0.208848529308034,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_areaMethodMCP",0.775430955439397,0.748486972018838,0.807027734525572,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_availablePointsScaled",-0.0255872884174017,-0.0375516342861297,-0.0120647291601011,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_contourScaled",-0.142698829509856,-0.15532549414891,-0.129590915464445,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_Intercept",0.902463599185274,0.87230338584972,0.929576459761581,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_samplingPatternst",0.010124018117721,-0.0158219478421921,0.0347291126652446,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_testrandomisation",1.8051544500908e-05,-0.0247007776642987,0.0253319315102542,0.95,"median","hdci","areaBasedBrms_OPHA_H1_binary_OPHA_H1_binary"
"b_areaMethodKDEhref",0.209539374662623,0.182718261977168,0.240904547755365,0.95,"median","hdci","areaBasedBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_areaMethodMCP",0.858167691749995,0.826357177823701,0.886798663212586,0.95,"median","hdci","areaBasedBrms_OPHA_H2_binary_OPHA_H2_binary"
"b_availablePointsScaled",-0.000778020162619194,-0.0138645791034006,0.0103217407638034,0.95,"median","hdci","areaBasedBrms_OPHA_H2_binary_OPHA_H2_binary"
